source_id,source_name,lat,lon,total_co2_emissions_2024,source,year
33998928,IND-Vadodara_methanol,22.24552375,73.24917844,23965.92,climate trace,2025
33998964,IND-Raigarh_methanol,18.48842027,73.12769142,116.145,climate trace,2025
33999003,IND-Mumbai Suburban_methanol,19.14044423,72.78052707,26364.915,climate trace,2025
33999192,IND-Bharuch_methanol,21.78703133,72.8528791,86455.935,climate trace,2025
45257031,Allahabad (Phulpur) Fertilizer Complex,25.5388885,82.0477413,4221775.246,climate trace,2025
45257038,Babrala Fertilizer Complex,25.123,78.456,3232218.975,climate trace,2025
45257040,Bareilly Fertilizer Complex,28.2282627,79.2427051,4510661.033,climate trace,2025
45257067,Dibrugarh (Namrup) Fertilizer Complex,27.1816892,95.3485271,1143.708253,climate trace,2025
45257102,Gujarat Narmada Valley Fertilizers & Chemicals Bharuch Complex,21.7411783,73.0122076,1107656.58,climate trace,2025
45257103,Gujarat State Fertilizers & Chemicals Vadodara Complex,22.346977,73.2100444,14893.07051,climate trace,2025
45257104,Hazira Fertilizer Complex,21.1663207,72.7050975,5805562.544,climate trace,2025
45257117,Kakinada Fertilizer Complex,16.9741912,82.2650541,4972644.577,climate trace,2025
45257118,Kalol Fertilizers Complex,23.192715,72.5519172,1353802.486,climate trace,2025
45257125,Kota Fertilizer Complex,25.1384006,75.8874722,3281945.421,climate trace,2025
45257146,Namrup Chemical Complex,27.1868935,95.3738344,66306.1125,climate trace,2025
45257147,Nangal Fertilizer Complex,31.3688637,76.356727,270760.4972,climate trace,2025
45257161,Panki Fertilizer Complex,26.4813186,80.1181532,1243036.828,climate trace,2025
45257174,Sagar (Banda) Phosphate Complex Unit II,24.044348,78.9574755,298358.6746,climate trace,2025
45257178,Shahjahanpur Fertilizer Complex,27.8327855,79.8301056,2148182.457,climate trace,2025
45257187,Taloja Fertilizer Complex,19.0734787,73.1234817,1488660.607,climate trace,2025
45257191,Tata Chemicals Soda Ash Facility,22.408057,69.00813,522880.352,climate trace,2025
45257192,Thal Fertilizer Complex,18.7008168,72.8686683,4972644.577,climate trace,2025
45257199,Tuticorin Chemical Complex,8.7411778,78.1367389,392465.9732,climate trace,2025
45257200,Tuticorin Chemical Complex,8.7411778,78.1367389,64633.71134,climate trace,2025
45257224,Zuarinagar Fertilizer Complex,15.3796587,73.8746468,2983586.746,climate trace,2025
45257236,Sutrapada Chemical Plant,20.84684468,70.46550443,474985.9367,climate trace,2025
