source_id,source_name,lat,lon,total_co2_emissions_2024,source,year
1,AGARTALA GT,23.8712,91.3602,308193,Central Electricity Authority,Nov-25
2,AKALTARA TPP,21.9603,82.4091,9434520,Central Electricity Authority,Nov-25
3,AKRIMOTA LIG,23.7689,68.6447,146806,Central Electricity Authority,Nov-25
7,AMAR KANTAK,23.1642,81.6373,1419294,Central Electricity Authority,Nov-25
8,AMARAVATI TPP,21.0782,77.9009,8282887,Central Electricity Authority,Nov-25
10,"ANAPARA ""C""",24.2007,82.8,7239567,Central Electricity Authority,Nov-25
13,ANPARA,24.201,82.7891,15190953,Central Electricity Authority,Nov-25
14,ANTA GT,25.1797,76.3188,232831,Central Electricity Authority,Nov-25
15,ANUPPUR TPP,23.0655,81.7865,7805751,Central Electricity Authority,Nov-25
16,AURAIYA GT,26.6282,79.5286,315069,Central Electricity Authority,Nov-25
17,AVANTHA BHANDAR TPP,21.7438,83.2741,3848827,Central Electricity Authority,Nov-25
24,BAKRESWAR,23.8285,87.4513,8154297,Central Electricity Authority,Nov-25
26,BALCO TPP,22.3930944,82.7439443,3834683,Central Electricity Authority,Nov-25
27,BANDAKHAR TPP,22.3421,82.4305,1884675,Central Electricity Authority,Nov-25
28,BANDEL,22.9956,88.4042,2180381,Central Electricity Authority,Nov-25
34,BARADARHA TPP,21.9114,83.1889,7705902,Central Electricity Authority,Nov-25
35,BARAMURA,23.807,91.565,3096,Central Electricity Authority,Nov-25
36,BARAUNI,25.3999,86.0218,3576934,Central Electricity Authority,Nov-25
39,BARH STPP,25.4865,85.7452,15308659,Central Electricity Authority,Nov-25
40,BARKHERA TPP,28.4723,79.8066,421217,Central Electricity Authority,Nov-25
41,BARSINGAR LIGNITE,27.8453,73.2,1876287,Central Electricity Authority,Nov-25
47,BELLARY TPS,15.1932,76.7195,8360412,Central Electricity Authority,Nov-25
49,BHADRADRI  TPP,18.027488,80.735645,4781721,Central Electricity Authority,Nov-25
54,BHAVNAGAR TPP,21.5837,72.2222,1999484,Central Electricity Authority,Nov-25
58,BHILAI TPP,21.184,81.4237,3199936,Central Electricity Authority,Nov-25
62,BHUSAWAL,21.0483,75.8425,7072439,Central Electricity Authority,Nov-25
63,BINA TPP,23.3172,78.1336,2862519,Central Electricity Authority,Nov-25
64,BINJKOTE,22.0103,83.2058,3616606,Central Electricity Authority,Nov-25
68,BOKARO A ''EXP'',23.6783,86.0888,2843767,Central Electricity Authority,Nov-25
71,BONGAIGAON TPP,26.5145,90.5287,4479559,Central Electricity Authority,Nov-25
73,BUDGE BUDGE,22.4673,88.14,4727300,Central Electricity Authority,Nov-25
76,CHAKABURA TPP,22.3932,82.5532,222422,Central Electricity Authority,Nov-25
80,CHANDRAPUR_Coal,20.0063,79.29,14840233,Central Electricity Authority,Nov-25
82,CHANDRAPURA,23.7376,86.1273,3133206,Central Electricity Authority,Nov-25
86,CHHABRA TPS,24.6217,77.0357,14064260,Central Electricity Authority,Nov-25
92,D.P.L.,23.5211,87.3023,3825238,Central Electricity Authority,Nov-25
93,DADRI (NCTPP),28.603,77.6078,8886467,Central Electricity Authority,Nov-25
94,DADRI GT,28.5932,77.6101,353184,Central Electricity Authority,Nov-25
95,DAMODARAM SANJEEVAIAH,14.3444,80.1264,11955070,Central Electricity Authority,Nov-25
96,DARLIPALLI STPP St-I,21.963554,83.89187,9908486,Central Electricity Authority,Nov-25
98,DERANG,21.1238,84.9843,7991028,Central Electricity Authority,Nov-25
99,DGEN MEGA CCCP,21.6923,72.6215,551064,Central Electricity Authority,Nov-25
102,DHANU,19.9545,72.7478,2769399,Central Electricity Authority,Nov-25
103,DHARIWAL INF TPP,20.0102,79.2033,4079740,Central Electricity Authority,Nov-25
105,DHOLPUR,26.7024,77.8492,32716,Central Electricity Authority,Nov-25
107,DHUVARAN CCPP,22.2396,72.752,166372,Central Electricity Authority,Nov-25
109,DISHERGARH TPP,23.689366,86.854318,60805,Central Electricity Authority,Nov-25
117,DURGAPUR STEEL TPS,23.58,87.2043,6356098,Central Electricity Authority,Nov-25
120,EMCO GMR WARORA TPP,20.2723,78.9793,3892457,Central Electricity Authority,Nov-25
123,F_BAD CCPP,28.3452,77.3615,93109,Central Electricity Authority,Nov-25
125,FARAKKA STPS,24.772,87.894,12961891,Central Electricity Authority,Nov-25
127,GADARWARA,22.8618,78.8648,7671284,Central Electricity Authority,Nov-25
129,GAMA CCPP  Module - 1,29.1411,78.9632,112848,Central Electricity Authority,Nov-25
130,GANDHAR GT,21.8242,73.1136,354812,Central Electricity Authority,Nov-25
132,GANDHI NAGAR,25.2502,72.6765,2356228,Central Electricity Authority,Nov-25
140,GHTP (LEH.MOH.),30.2666,75.1661,5141496,Central Electricity Authority,Nov-25
